long,lat,mag,X_mercator,Y_mercator
-180,-88,26.09,-10669445.554195119,-13748203.065677434
-180,-87,45.55,-10669445.554195119,-12370735.362810196
-180,-86,53.78,-10669445.554195119,-11393108.636102777
-180,-85,57.34,-10669445.554195119,-10634494.268930687
-180,-84,76.63,-10669445.554195119,-10014346.264941249
-180,-83,96.04,-10669445.554195119,-9489698.822323818
-180,-82,90.78,-10669445.554195119,-9034905.06735451
-180,-81,49.83,-10669445.554195119,-8633422.118044501
-180,-80,-22.64,-10669445.554195119,-8273954.485169323
-180,-79,-111.42,-10669445.554195119,-7948445.427955284
-180,-78,-200.13,-10669445.554195119,-7650946.01674496
-180,-77,-268.25,-10669445.554195119,-7376938.436567015
-180,-76,-282.62,-10669445.554195119,-7122910.7844191175
-180,-75,-215.45,-10669445.554195119,-6886078.91842339
-180,-74,-100.75,-10669445.554195119,-6664198.259637625
-180,-73,11.83,-10669445.554195119,-6455432.748868278
-180,-72,89.81,-10669445.554195119,-6258261.316551574
-180,-71,125.75,-10669445.554195119,-6071409.6741232835
-180,-70,121.22,-10669445.554195119,-5893799.621304472
-180,-69,73.73,-10669445.554195119,-5724510.734238345
-180,-61,-195.74,-10669445.554195119,-4593023.714338441
-180,-60,-198.34,-10669445.554195119,-4472639.239957092
-180,-59,-184.47,-10669445.554195119,-4355840.606456783
-180,-58,-132.6,-10669445.554195119,-4242386.787747845
-180,-57,-26.89,-10669445.554195119,-4132058.8497432065
-180,-56,138.28,-10669445.554195119,-4024657.30463745
-180,-55,345.26,-10669445.554195119,-3919999.8486208925
-180,-54,537.57,-10669445.554195119,-3817919.4181811535
-180,-53,650.75,-10669445.554195119,-3718262.5125877024
-180,-52,636.93,-10669445.554195119,-3620887.739941865
-180,-51,558.26,-10669445.554195119,-3525664.55192683
-180,-50,492.46,-10669445.554195119,-3432472.1385733904
-180,-49,481.75,-10669445.554195119,-3341198.4593167556
-180,-48,492.78,-10669445.554195119,-3251739.3906227383
-180,-47,430.03,-10669445.554195119,-3163997.9737107884
-180,-46,251.63,-10669445.554195119,-3077883.7485526614
-180,-45,-5.76,-10669445.554195119,-2993312.1624999014
-180,-44,-212.28,-10669445.554195119,-2910204.0436853105
-180,-43,-271.62,-10669445.554195119,-2828485.1308270334
