X,Y,MAG
-10639858.552853664,5305218.190801623,26.08998925723927
-10580684.550170753,5305218.190801623,26.06991942929453
-10521510.547487842,5305218.190801623,26.019812001687235
-10462336.54480493,5305218.190801623,25.949548804049368
-10403162.54212202,5305218.190801623,25.8294682333439
-10343988.53943911,5305218.190801623,25.7194682333439
-10284814.536756199,5305218.190801623,25.628952580828894
-10225640.534073288,5305218.190801623,25.478630298007015
-10166466.531390376,5305218.190801623,25.30744322294643
-10107292.528707465,5305218.190801623,25.027856819234508
-10048118.526024554,5305218.190801623,24.81748082260898
-9988944.523341645,5305218.190801623,24.593907567619368
-9929770.520658733,5305218.190801623,24.37033431262974
-9870596.517975822,5305218.190801623,24.14419890920618
-9811422.51529291,5305218.190801623,23.745638439143907
-9752248.51261,5305218.190801623,23.465337641843487
-9693074.50992709,5305218.190801623,23.184682333439
-9633900.507244179,5305218.190801623,22.88436005061712
-9574726.504561268,5305218.190801623,22.582050357060325
-9515552.501878357,5305218.190801623,22.18287754963648
-9456378.499195445,5305218.190801623,21.843172975556534
-9397204.496512536,5305218.190801623,21.531685103195528
-9338030.493829625,5305218.190801623,21.17129836380927
-9278856.491146713,5305218.190801623,20.80762971102022
-9219682.488463802,5305218.190801623,20.320261687398897
-9160508.485780891,5305218.190801623,19.949590264853317
-9101334.483097982,5305218.190801623,19.568612673626948
-9042160.48041507,5305218.190801623,19.169955518718112
-8982986.47773216,5305218.190801623,18.827753252768606
-8923812.475049248,5305218.190801623,18.42827427666398
-8864638.472366337,5305218.190801623,18.05656617770802
-8805464.469683426,5305218.190801623,17.645787327555148
-8746290.467000516,5305218.190801623,17.227430969946727
-8687116.464317605,5305218.190801623,16.864525053169455
-8627942.461634694,5305218.190801623,16.4359162406839
-8568768.458951782,5305218.190801623,16.053982543752625
-8509594.456268871,5305218.190801623,15.633596699596433
-8450420.45358596,5305218.190801623,15.214813960772593
-8391246.45090305,5305218.190801623,14.796031221948748
-8332072.448220139,5305218.190801623,14.377248483124905
-8272898.445537228,5305218.190801623,13.958465744301066
-8213724.442854317,5305218.190801623,13.53968300547722
-8154550.440171407,5305218.190801623,13.12036760476722
-8095376.437488496,5305218.190801623,12.69084028623931
-8036202.434805585,5305218.190801623,12.280877885901862
-7977028.432122674,5305218.190801623,11.879959379859505
-7917854.429439763,5305218.190801623,11.469518926669606
-7858680.426756852,5305218.190801623,11.058568192345064
