-179.0,-50.0,439.02
-179.0,-49.0,413.86
-179.0,-48.0,414.55
-179.0,-47.0,372.53
-179.0,-46.0,240.5
-179.0,-45.0,27.44
-179.0,-44.0,-143.08
-179.0,-43.0,-185.09
-179.0,-42.0,-181.97
-179.0,-41.0,-198.13
-179.0,-40.0,-211.72
-179.0,-39.0,-204.4
-179.0,-38.0,-180.53
-179.0,-37.0,-147.07
-179.0,-36.0,-110.88
-179.0,-35.0,-82.7
-179.0,-34.0,-66.35
-179.0,-33.0,-58.88
-179.0,-32.0,-52.32
-179.0,-31.0,-40.07
-179.0,-30.0,-25.62
-179.0,-29.0,-14.49
-179.0,-28.0,2.24
-179.0,-27.0,31.73
-179.0,-26.0,69.72
-179.0,-25.0,94.85
-179.0,-24.0,78.22
-179.0,-23.0,51.7
-179.0,-22.0,62.74
-179.0,-21.0,89.98
-179.0,-20.0,94.49
-179.0,-19.0,75.17
-179.0,-18.0,39.55
-179.0,-17.0,1.23
-179.0,-16.0,-30.62
-179.0,-15.0,-49.25
-179.0,-14.0,-49.27
-179.0,-13.0,-33.22
-179.0,-12.0,-21.2
-179.0,-11.0,-21.87
-179.0,-10.0,-29.57
-179.0,-9.0,-37.42
-179.0,-8.0,-42.09
-179.0,-7.0,-46.04
-179.0,-6.0,-53.41
-179.0,-5.0,-75.57
-179.0,-4.0,-109.83
-179.0,-3.0,-129.13
-179.0,-2.0,-123.67
-179.0,-1.0,-100.96
-179.0,0.0,-72.02
-179.0,1.0,-48.21
-179.0,2.0,-34.27
-179.0,3.0,-29.88
-179.0,4.0,-21.97
-179.0,5.0,-7.7
-179.0,6.0,3.68
-179.0,7.0,7.55
-179.0,8.0,5.71
-179.0,9.0,1.73
-179.0,10.0,-0.2
-179.0,11.0,0.87
-179.0,12.0,3.78
-179.0,13.0,3.83
-179.0,14.0,2.55
-179.0,15.0,4.12
-179.0,16.0,6.71
-179.0,17.0,6.87
-179.0,18.0,3.87
-179.0,19.0,-1.59
-179.0,20.0,-6.87
-179.0,21.0,-9.95
-179.0,22.0,-10.3
-179.0,23.0,-7.95
-179.0,24.0,-4.26
-179.0,25.0,-1.57
-179.0,26.0,-0.25
-179.0,27.0,0.23
-179.0,28.0,0.16
-179.0,29.0,-0.42
-179.0,30.0,-1.08
-179.0,31.0,-0.9
-179.0,32.0,-0.29
-179.0,33.0,-0.07
-179.0,34.0,-0.44
-179.0,35.0,-1.13
-179.0,36.0,-1.45
-179.0,37.0,-1.55
-179.0,38.0,-1.67
-179.0,39.0,-1.6
-179.0,40.0,-1.48
-179.0,41.0,-2.28
-179.0,42.0,-3.9
-179.0,43.0,-4.51
-179.0,44.0,-3.44
-179.0,45.0,-0.92
-179.0,46.0,2.42
-179.0,47.0,5.58
-179.0,48.0,7.64
-179.0,49.0,8.09
-179.0,50.0,7.54
-179.0,51.0,6.46
-179.0,52.0,5.35
-179.0,53.0,3.42
-179.0,54.0,0.37
-179.0,55.0,-1.93
-179.0,56.0,-2.69
-179.0,57.0,-3.7
-179.0,58.0,-5.25
-179.0,59.0,-5.89
-179.0,60.0,-5.14
-179.0,61.0,-3.41
-179.0,62.0,-2.39
-179.0,63.0,-2.45
-179.0,64.0,-2.33
-179.0,65.0,-1.91
-179.0,66.0,-2.33
-179.0,67.0,-3.1
-179.0,68.0,-3.0
-179.0,69.0,-2.98
-179.0,70.0,-3.79
-179.0,71.0,-4.12
-179.0,72.0,-2.97
-179.0,73.0,-0.94
-179.0,74.0,0.65
-179.0,75.0,0.6
-179.0,76.0,-0.14
-179.0,77.0,-0.43
-179.0,78.0,-0.24
-179.0,79.0,-0.03
-179.0,80.0,0.26
-179.0,81.0,0.59
-179.0,82.0,0.96
-179.0,83.0,1.68
-179.0,84.0,3.19
-179.0,85.0,4.53
-179.0,86.0,4.93
-179.0,87.0,4.83
-179.0,88.0,4.48
-178.0,-88.0,26.02
-178.0,-87.0,45.46
-178.0,-86.0,53.89
-178.0,-85.0,58.15
-178.0,-84.0,78.74
-178.0,-83.0,99.34
-178.0,-82.0,93.12
-178.0,-81.0,49.41
-178.0,-80.0,-27.78
-178.0,-79.0,-120.42
-178.0,-78.0,-209.67
-178.0,-77.0,-272.09
-178.0,-76.0,-276.4
-178.0,-75.0,-202.97
-178.0,-74.0,-91.49
-178.0,-73.0,7.72
-178.0,-72.0,67.85
-178.0,-71.0,89.01
-178.0,-70.0,80.78
-178.0,-69.0,43.55
-178.0,-68.0,-28.96
-178.0,-67.0,-119.82
-178.0,-65.0,-248.8
-178.0,-64.0,-267.02
-178.0,-63.0,-254.64
-178.0,-62.0,-229.75
-178.0,-61.0,-214.26
-178.0,-60.0,-202.57
-178.0,-59.0,-176.35
-178.0,-58.0,-127.91
-178.0,-57.0,-45.59
-178.0,-56.0,84.92
-178.0,-55.0,253.95
-178.0,-54.0,414.63
-178.0,-53.0,511.91
-178.0,-52.0,505.28
-178.0,-51.0,438.6
-178.0,-50.0,368.03
-178.0,-49.0,328.96
-178.0,-48.0,317.15
-178.0,-47.0,300.21
-178.0,-46.0,224.9
-178.0,-45.0,66.46
-178.0,-44.0,-62.59
-178.0,-43.0,-84.17
-178.0,-42.0,-104.63
-178.0,-41.0,-187.49
-178.0,-40.0,-255.71
-178.0,-39.0,-268.17
-178.0,-38.0,-226.66
-178.0,-37.0,-159.8
-178.0,-36.0,-97.67
-178.0,-35.0,-52.89
-178.0,-34.0,-27.01
-178.0,-33.0,-16.24
-178.0,-32.0,-9.23
-178.0,-31.0,5.21
-178.0,-30.0,22.4
-178.0,-29.0,34.1
-178.0,-28.0,45.92
-178.0,-27.0,61.97
-178.0,-26.0,79.63
-178.0,-25.0,86.48
-178.0,-24.0,73.56
-178.0,-23.0,67.23
-178.0,-22.0,93.36
-178.0,-21.0,121.35
-178.0,-20.0,111.6
-178.0,-19.0,60.1
-178.0,-18.0,-17.13
-178.0,-17.0,-88.56
-178.0,-16.0,-132.39
-178.0,-15.0,-130.84
-178.0,-14.0,-95.09
-178.0,-13.0,-44.84
-178.0,-12.0,-12.3
-178.0,-11.0,-10.91
-178.0,-10.0,-27.61
-178.0,-9.0,-48.62
-178.0,-8.0,-63.35
-178.0,-7.0,-70.95
-178.0,-6.0,-75.44
-178.0,-5.0,-85.03
-178.0,-4.0,-99.96
-178.0,-3.0,-109.91
-178.0,-2.0,-116.47
-178.0,-1.0,-125.68
-178.0,0.0,-123.22
-178.0,1.0,-94.05
-178.0,2.0,-61.14
-178.0,3.0,-45.02
-178.0,4.0,-35.14
-178.0,5.0,-21.47
-178.0,6.0,-4.77
-178.0,7.0,6.57
-178.0,8.0,5.89
-178.0,9.0,0.09
-178.0,10.0,-0.56
-178.0,11.0,3.01
-178.0,12.0,6.99
-178.0,13.0,6.84
-178.0,14.0,4.36
-178.0,15.0,4.86
-178.0,16.0,6.6
-178.0,17.0,5.65
-178.0,18.0,2.2
-178.0,19.0,-3.66
-178.0,20.0,-10.46
-178.0,21.0,-15.14
-178.0,22.0,-14.61
-178.0,23.0,-10.27
-178.0,24.0,-5.38
-178.0,25.0,-2.66
-178.0,26.0,-1.53
-178.0,27.0,-1.17
-178.0,28.0,-1.24
-178.0,29.0,-1.42
-178.0,30.0,-1.64
-178.0,31.0,-1.33
-178.0,32.0,-0.9
-178.0,33.0,-1.01
-178.0,34.0,-1.39
-178.0,35.0,-1.83
-178.0,36.0,-2.18
-178.0,37.0,-2.6
-178.0,38.0,-3.24
-178.0,39.0,-3.85
-178.0,40.0,-4.15
-178.0,41.0,-4.67
-178.0,42.0,-5.65
-178.0,43.0,-6.51
-178.0,44.0,-6.53
-178.0,45.0,-4.53
-178.0,46.0,-0.75
-178.0,47.0,4.18
-178.0,48.0,8.53
-178.0,49.0,10.44
-178.0,50.0,10.18
-178.0,51.0,8.61
-178.0,52.0,6.86
-178.0,53.0,4.31
-178.0,54.0,0.74
-178.0,55.0,-1.69
-178.0,56.0,-2.18
-178.0,57.0,-3.09
-178.0,58.0,-5.0
-178.0,59.0,-6.2
-178.0,60.0,-5.6
-178.0,61.0,-3.22
-178.0,62.0,-1.64
-178.0,63.0,-1.93
-178.0,64.0,-2.09
-178.0,65.0,-1.67
-178.0,66.0,-2.14
-178.0,67.0,-2.98
-178.0,68.0,-2.78
-178.0,69.0,-2.8
-178.0,70.0,-3.97
-178.0,71.0,-4.5
-178.0,72.0,-3.23
-178.0,73.0,-1.04
